Project Id,Bid,Status,
487827,Bid[1],Passed,
487809,Bid[1],Passed,
487950,Bid[1],Failed,Failed
487861,Bid[1],Failed,Failed
487521,Bid[1],Failed,Failed
487835,Bid[1],Passed,
487910,Bid[1],Failed,Failed
487566,Bid[1],Passed,
487817,Bid[1],Passed,
487947,Bid[1],Passed,
487767,Bid[1],Failed,Failed
487990,Bid[1],Passed,
487993,Bid[1],Passed,
487981,Bid[1],Passed,
487871,Bid[1],Passed,
487930,Bid[1],Passed,
487901,Bid[1],Passed,
487916,Bid[1],Passed,
487984,Bid[1],Passed,
487822,Bid[1],Passed,
487919,Bid[1],Passed,
487888,Bid[1],Passed,
487909,Bid[1],Passed,
487908,Bid[1],Passed,
487862,Bid[1],Passed,
487915,Bid[1],Passed,
487941,Bid[1],Building Error Message: Mod 1: Left Eave Height (Roof) is required.,Building Error Message: Mod 1: Left Eave Height (Roof) is required.
487970,Bid[1],Passed,
487943,Bid[1],Passed,
487936,Bid[1],Passed,
488001,Bid[1],Passed,
487982,Bid[1],Passed,
487937,Bid[1],Passed,
487858,Bid[1],Passed,
487849,Bid[1],Passed,
487851,Bid[1],Passed,
487844,Bid[1],Passed,
487779,Bid[1],Passed,
487810,Bid[1],Passed,
487887,Bid[1],Passed,
487824,Bid[1],Passed,
487692,Bid[1],Passed,
487697,Bid[1],Passed,
487749,Bid[1],Passed,
487750,Bid[1],Failed,Failed
487816,Bid[1],Passed,
487664,Bid[1],Passed,
487513,Bid[1],Passed,
487531,Bid[1],Passed,
487609,Bid[1],Passed,
487542,Bid[1],Passed,
487536,Bid[1],Passed,
487456,Bid[1],Passed,
487395,Bid[1],Passed,
487415,Bid[1],Passed,
487428,Bid[1],Passed,
487309,Bid[1],Passed,
487386,Bid[1],Passed,
487211,Bid[1],Passed,
487233,Bid[1],Passed,
487073,Bid[1],Failed,Failed
487209,Bid[1],Passed,
487276,Bid[1],Passed,
487242,Bid[1],Passed,
487249,Bid[1],Passed,
487218,Bid[1],Passed,
487210,Bid[1],Passed,
487207,Bid[1],Passed,
487157,Bid[1],Passed,
487145,Bid[1],Passed,
486987,Bid[1],Passed,
487045,Bid[1],Passed,
487019,Bid[1],Building Error Message: Mod 1: Unknown splices run data is required for (Roof),Building Error Message: Mod 1: Unknown splices run data is required for (Roof)
486911,Bid[1],Passed,
486901,Bid[1],Passed,
486970,Bid[1],Passed,
486827,Bid[1],Passed,
487974,Bid[1],Passed,
