487999,Bid[1],Failed,Failed,
487998,Bid[1],Project Loading Failed,,
487997,Bid[1],Passed,,
487994,Bid[1],Passed,,
487992,Bid[1],Passed,,
487991,Bid[1],Building Error Message: Mod 1: Right Eave height (EW@1) should be 228 inches for wall with slope inches and peak offset as 75.0 feet 0 inches.,Building Error Message: Mod 1: Right Eave height (EW@1) should be 228 inches for wall with slope inches and peak offset as 75.0 feet 0 inches.,
487989,Bid[1],Passed,,
487987,Bid[1],Passed,,
487986,Bid[1],Passed,,
487985,Bid[1],Passed,,
487979,Bid[1],Passed,,
487978,Bid[1],Passed,,
487977,Bid[1],Passed,,
487976,Bid[1],Passed,,
487975,Bid[1],Passed,,
487973,Bid[1],Passed,,
487972,Bid[1],Passed,,
487971,Bid[1],Passed,,
